protocol,session,mode,payload,bytes,n,warmup_n,order_index,mean_us,p50_us,p95_us,p99_us,ci95_lo_us,ci95_hi_us
E2_armD_randomized_discarded,s2,approval,1KiB,1024,1000,200,0,13.599,13.268,14.977,20.353,13.252,13.280
E2_armD_randomized_discarded,s2,anon,128B,128,1000,200,1,14.220,13.916,15.292,19.875,13.908,13.924
E2_armD_randomized_discarded,s2,otp,16KiB,16384,1000,200,2,31.563,29.744,32.625,41.469,29.707,29.782
E2_armD_randomized_discarded,s2,anon,1KiB,1024,1000,200,3,24.180,23.305,31.113,38.505,23.279,23.335
E2_armD_randomized_discarded,s2,anon,16KiB,16384,1000,200,4,167.220,165.335,173.736,220.840,165.072,165.534
E2_armD_randomized_discarded,s2,direct,128B,128,1000,200,5,12.403,12.342,12.684,15.180,12.333,12.351
E2_armD_randomized_discarded,s2,direct,16KiB,16384,1000,200,6,36.920,30.236,32.645,41.216,30.201,30.257
E2_armD_randomized_discarded,s2,approval,16KiB,16384,1000,200,7,36.790,30.147,32.723,55.263,30.105,30.173
E2_armD_randomized_discarded,s2,otp,128B,128,1000,200,8,12.368,12.240,12.610,15.182,12.216,12.302
E2_armD_randomized_discarded,s2,direct,1KiB,1024,1000,200,9,13.477,13.420,13.678,16.780,13.410,13.428
E2_armD_randomized_discarded,s2,approval,128B,128,1000,200,10,12.215,12.096,12.499,14.162,12.086,12.109
E2_armD_randomized_discarded,s2,otp,1KiB,1024,1000,200,11,13.578,13.397,14.049,18.634,13.363,13.419
E2_armD_randomized_discarded,s3,direct,16KiB,16384,1000,200,0,37.822,29.764,38.038,49.341,29.679,29.859
E2_armD_randomized_discarded,s3,direct,1KiB,1024,1000,200,1,12.712,12.600,12.942,14.898,12.593,12.606
E2_armD_randomized_discarded,s3,approval,16KiB,16384,1000,200,2,35.853,28.913,32.898,55.161,28.769,29.012
E2_armD_randomized_discarded,s3,approval,1KiB,1024,1000,200,3,13.177,12.909,14.208,21.038,12.902,12.920
E2_armD_randomized_discarded,s3,otp,1KiB,1024,1000,200,4,12.819,12.619,13.497,16.373,12.613,12.631
E2_armD_randomized_discarded,s3,approval,128B,128,1000,200,5,11.749,11.554,12.901,14.022,11.540,11.566
E2_armD_randomized_discarded,s3,anon,128B,128,1000,200,6,13.347,13.158,14.258,16.798,13.140,13.181
E2_armD_randomized_discarded,s3,otp,16KiB,16384,1000,200,7,29.474,28.412,31.068,35.070,28.400,28.424
E2_armD_randomized_discarded,s3,anon,16KiB,16384,1000,200,8,156.726,154.733,163.698,198.878,154.490,155.063
E2_armD_randomized_discarded,s3,otp,128B,128,1000,200,9,11.911,11.741,12.402,17.789,11.723,11.755
E2_armD_randomized_discarded,s3,direct,128B,128,1000,200,10,11.627,11.505,12.375,13.572,11.496,11.512
E2_armD_randomized_discarded,s3,anon,1KiB,1024,1000,200,11,22.074,21.803,23.287,25.702,21.749,21.840
E2_armD_randomized_discarded,s4,anon,16KiB,16384,1000,200,0,166.316,162.783,177.724,234.372,162.603,162.991
E2_armD_randomized_discarded,s4,approval,16KiB,16384,1000,200,1,36.831,29.685,33.700,59.783,29.650,29.716
E2_armD_randomized_discarded,s4,otp,1KiB,1024,1000,200,2,13.320,13.151,13.662,16.687,13.142,13.161
E2_armD_randomized_discarded,s4,approval,128B,128,1000,200,3,12.058,11.967,12.270,14.148,11.962,11.973
E2_armD_randomized_discarded,s4,direct,128B,128,1000,200,4,12.259,12.051,12.661,17.311,12.032,12.072
E2_armD_randomized_discarded,s4,anon,1KiB,1024,1000,200,5,23.426,22.961,26.535,36.153,22.910,22.995
E2_armD_randomized_discarded,s4,approval,1KiB,1024,1000,200,6,13.357,13.336,13.604,15.460,13.322,13.347
E2_armD_randomized_discarded,s4,otp,16KiB,16384,1000,200,7,30.722,29.771,32.902,46.219,29.745,29.798
E2_armD_randomized_discarded,s4,direct,16KiB,16384,1000,200,8,36.968,29.871,33.386,62.012,29.805,29.976
E2_armD_randomized_discarded,s4,direct,1KiB,1024,1000,200,9,13.456,13.258,13.747,19.023,13.232,13.286
